top - 17:00:13 up 23:26,  1 user,  load average: 0.10, 0.27, 0.35
Tasks: 156 total,   1 running, 155 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.6 us,  0.4 sy,  0.1 ni, 98.8 id,  0.1 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:    501748 total,   472980 used,    28768 free,    31932 buffers
KiB Swap:        0 total,        0 used,        0 free.   254384 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
32494 george    20   0  105636   1860    876 S  0.0  0.4   0:00.00 sshd
32499 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.01 sshd
32548 george    20   0  105636   1860    876 S  0.0  0.4   0:00.00 sshd
32551 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.01 sshd
32600 george    20   0  105636   1864    880 S  0.0  0.4   0:00.00 sshd
32603 george    20   0    7212    616    516 S  0.0  0.1   0:00.00 cat
32604 root      20   0  105636   4176   3200 S  0.0  0.8   0:00.01 sshd
32653 george    20   0  105636   1864    884 S  0.0  0.4   0:00.00 sshd
32655 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.00 sshd
32672 root      20   0  105636   4184   3200 S  0.0  0.8   0:00.01 sshd
32729 george    20   0  105636   1868    884 S  0.0  0.4   0:00.00 sshd
32756 george    20   0  105636   1868    880 S  0.0  0.4   0:00.00 sshd
32760 root      20   0  105636   4180   3200 S  0.0  0.8   0:00.01 sshd
